,wyId,FKGoalsOverExpected,count,TotalFKGoalsOverExpected,Full Name,shortName
8991,14727,-0.031530287682016475,17,-0.5360148905942801,Arjen Robben,A. Robben
9020,15014,-0.03160446716445392,17,-0.5372759417957167,Oscar Wendt,O. Wendt
20754,105338,-0.05381767794966593,10,-0.5381767794966593,Henrikh Mkhitaryan,H. Mkhitaryan
2225,221411,-0.01171639299820077,46,-0.5389540779172354,Philipp Max,P. Max
23560,105619,-0.0598957262995653,9,-0.5390615366960877,Admir Mehmedi,A. Mehmedi
7623,89559,-0.030239555401360887,18,-0.544311997224496,Charles Mariano Ar\u00e1nguiz Sandoval,C. Ar\u00e1nguiz
21227,7870,-0.054567195920532066,10,-0.5456719592053206,Aaron Ramsey,A. Ramsey
25915,208089,-0.0787305924695125,7,-0.5511141472865875,Iver Fossum,I. Fossum
4745,26956,-0.025084791432323204,22,-0.5518654115111105,Nicolas Benezet,N. Benezet
21587,25891,-0.05521062184464093,10,-0.5521062184464093,Benjamin Nivet,B. Nivet
24090,7932,-0.06140418943998319,9,-0.5526377049598487,Darren  Fletcher,D. Fletcher
9850,8239,-0.03265181753981734,17,-0.5550808981768949,Leighton Baines,L. Baines
19758,26285,-0.05136807279791089,11,-0.5650488007770198,Anthony Gon\u00e7alves,A. Gon\u00e7alves
24554,14806,-0.06287139924478742,9,-0.5658425932030868,Mario G\u00f6tze,M. G\u00f6tze
7316,32652,-0.029865578769294555,19,-0.5674459966165966,Emre \u00c7olak,E. \u00c7olak
5825,18669,-0.027138576753286108,21,-0.5699101118190083,Jonas Hector,J. Hector
24700,374013,-0.06355826293912195,9,-0.5720243664520975,Amadou Diawara,A. Diawara
20106,15191,-0.0521479515230677,11,-0.5736274667537447,Yunus Mall\u0131,Y. Mall\u0131
2425,70096,-0.01343307361509691,43,-0.5776221654491671,James David Rodr\u00edguez Rubio,J. Rodr\u00edguez
23636,14703,-0.06009632230541582,10,-0.6009632230541582,Marko Arnautovi\u0107,M. Arnautovi\u0107
3389,15456,-0.02085013084090688,29,-0.6046537943862995,Felix Klaus,F. Klaus
14840,10252,-0.040496948233896,15,-0.6074542235084399,Sam Clucas,S. Clucas
8488,256084,-0.031026740001158022,20,-0.6205348000231604,Chang-Hoon Kwon,Kwon Chang-Hoon
5758,25461,-0.02699994085258361,23,-0.620998639609423,Ryad Boudebouz,R. Boudebouz
12722,20947,-0.036645049847937844,17,-0.6229658474149433,Alessio Cerci,A. Cerci
25456,225089,-0.06939580679574844,9,-0.624562261161736,Jos\u00e9 Luis Morales Nogales,Jos\u00e9 Luis Morales
5115,256478,-0.026088311648124456,24,-0.6261194795549869,Danilo Cataldi,D. Cataldi
24566,25923,-0.06299196425091112,10,-0.6299196425091113,Nicolas de Roussel de Pr\u00e9ville,N. de Pr\u00e9ville
24579,21376,-0.06307497865845559,10,-0.6307497865845558,Gianluca Caprari,G. Caprari
22804,25492,-0.057653662837851116,11,-0.6341902912163623,Thomas Monconduit,T. Monconduit
5278,221333,-0.02648371581250511,24,-0.6356091795001226,Kerem Demirbay,K. Demirbay
20525,328333,-0.05305479247042768,12,-0.6366575096451321,Lorenzo Pellegrini,L. Pellegrini
20680,300669,-0.05363490729292799,12,-0.6436188875151359,Andrija Bali\u0107,A. Bali\u0107
17495,134512,-0.04644240388620372,14,-0.6501936544068521,Corentin Jean,C. Jean
23379,20593,-0.05934632304669447,11,-0.6528095535136391,Roberto Maximiliano Pereyra,R. Pereyra
8591,25942,-0.03114226072665382,21,-0.6539874752597302,Gilbert Gianelli Imbula Wanga,G. Imbula
21640,21385,-0.0553452004444441,12,-0.6641424053333291,Lorenzo Insigne,L. Insigne
